,Original,Plain
0,'BeKind,'bekind
1,'CalMac,'calmac
2,'CityPoint,'citypoint
3,'MeToo,'metoo
4,'OId,'oid
5,'RTKal,'rtkal
6,'SpeakingOut,'speakingout
7,'TikTok,'tiktok
8,112kW,112kw
9,1296The,1296the
10,135000kWh,135000kwh
11,1590sNicola,1590snicola
12,15Cthe,15cthe
13,180000South,180000south
14,180MWe,180mwe
15,1967Sexual,1967sexual
16,1969The,1969the
17,1981Wildlife,1981wildlife
18,1991Gallo,1991gallo
19,1994Section,1994section
20,1Life,1life
21,1MWp,1mwp
22,1Malaysia,1malaysia
23,1Xtra,1xtra
24,2000Palestinian,2000palestinian
25,2005Link,2005link
26,2011The,2011the
27,2013The,2013the
28,2014New,2014new
29,2014Russia,2014russia
30,2015Link,2015link
31,2016Domestic,2016domestic
32,2016Education,2016education
33,2016Link,2016link
34,2016Lowestoft,2016lowestoft
35,2016The,2016the
36,2017Link,2017link
37,2017Peggy,2017peggy
38,2018He,2018he
39,2018Jamal,2018jamal
40,2018Link,2018link
41,2018Mr,2018mr
42,2019Christina,2019christina
43,2019Senedd,2019senedd
44,2019We,2019we
45,2020Brazilian,2020brazilian
46,2020Link,2020link
47,2020Mohsen,2020mohsen
48,2021Campbell,2021campbell
49,2021Global,2021global
50,2021Link,2021link
51,2021Panorama,2021panorama
52,2021Tougher,2021tougher
53,2025Bradford,2025bradford
54,2025Scotland,2025scotland
55,2025There,2025there
56,2028Link,2028link
57,2030Link,2030link
58,2072Link,2072link
59,20kW,20kw
60,22100To,22100to
61,22mLink,22mlink
62,250000Sexual,250000sexual
63,26MWh,26mwh
64,28Friday,28friday
65,28Section,28section
66,2Baba,2baba
67,2Faced,2faced
68,2Funky,2funky
69,2Lt,2lt
70,2Pac,2pac
71,2Time,2time
72,2Wish,2wish
73,2Xfreestyle,2xfreestyle
74,330kV,330kv
75,353GWh,353gwh
76,36ftHousing,36fthousing
77,3Arena,3arena
78,400kV,400kv
79,400kW,400kw
80,45pkWh,45pkwh
81,490MWe,490mwe
82,4Town,4town
83,500MWh,500mwh
84,5Live,5live
85,5LiveBBC,5livebbc
86,5kYour,5kyour
87,65kW,65kw
88,78Link,78link
89,8300Kenya,8300kenya
90,83North,83north
91,85John,85john
92,95Fin,95fin
93,99Polio,99polio
94,A'Hearn,a'hearn
95,A2Dominion,a2dominion
96,AFCRob,afcrob
97,AFCWrexham,afcwrexham
98,AIPZLink,aipzlink
99,AIdan,aidan
100,AIl,ail
101,AIr,air
102,AMBLor,amblor
103,AONBfive,aonbfive
104,ASYMmetric,asymmetric
105,AbScentAbScent,abscentabscent
106,AbbeyStrata,abbeystrata
107,AberDNA,aberdna
108,AbergavennyThree,abergavennythree
109,AbujaA,abujaa
110,AbujaLink,abujalink
111,AcademyOur,academyour
112,AccessAble,accessable
113,AccessPupil,accesspupil
114,AccuraCast,accuracast
115,ActInsolvency,actinsolvency
116,ActNow,actnow
117,ActUK,actuk
118,Action54Zero,action54zero
119,ActionAid,actionaid
120,Active4Today,active4today
121,AdferiadAdferiad,adferiadadferiad
122,AfC,afc
123,AfCFTA,afcfta
124,AfD,afd
125,AffairsDepartment,affairsdepartment
126,AfghanistanPen,afghanistanpen
127,AfghanistanRead,afghanistanread
128,AfreecaTV,afreecatv
129,AfricaA,africaa
130,AfricaBBC,africabbc
131,AfricaLink,africalink
132,AfricanScottish,africanscottish
133,AfriqueA,afriquea
134,AfterLife,afterlife
135,AgencyEnvironment,agencyenvironment
136,AgencyHigher,agencyhigher
137,AgreementCooperation,agreementcooperation
138,AidData,aiddata
139,AideenReporter,aideenreporter
140,AirAsia,airasia
141,AirBnB,airbnb
142,AirBridgeCargo,airbridgecargo
143,AirCar,aircar
144,AirDrop,airdrop
145,AirPod,airpod
146,AirPortr,airportr
147,AirSim,airsim
148,AirTag,airtag
149,AlJadeed,aljadeed
150,AlMamlaka,almamlaka
151,AlahverdianRossi,alahverdianrossi
152,AlcottLouisa,alcottlouisa
153,AleXa,alexa
154,AlexDaviesSwansea,alexdaviesswansea
155,AllMusic,allmusic
156,AllatRa,allatra
157,AllianceBeyond,alliancebeyond
158,AllianceDream,alliancedream
159,AllianceEast,allianceeast
160,AllowanceLocal,allowancelocal
161,AlphaCode,alphacode
162,AmCham,amcham
163,AmericanCanadian,americancanadian
164,AmericanPlayerChenWeiGoldMedal,americanplayerchenweigoldmedal
165,AmerisourceBergen,amerisourcebergen
166,AmershamChesham,amershamchesham
167,AmyElle,amyelle
168,AnadoluJet,anadolujet
169,AndrewTate,andrewtate
170,AngliaGreater,angliagreater
171,Anon2World,anon2world
172,AntrimCounty,antrimcounty
173,Aoeur'gnaeuxLink,aoeur'gnaeuxlink
174,ApartheidLink,apartheidlink
175,AppStore,appstore
176,AprilA,aprila
177,AprilLink,aprillink
178,AprilMay,aprilmay
179,AprilOfgem,aprilofgem
180,AprilRFI,aprilrfi
181,AprilSunday,aprilsunday
182,AqlaPalestinian,aqlapalestinian
183,AqlaShireen,aqlashireen
184,AqlaViolence,aqlaviolence
185,AquaEd,aquaed
186,AqueductPontycysyllte,aqueductpontycysyllte
187,ArabiaJoe,arabiajoe
188,ArcTanGent,arctangent
189,ArcelorMittal,arcelormittal
190,ArchivesBritannicaBasque,archivesbritannicabasque
191,ArcuriJennifer,arcurijennifer
192,ArdnamurchanLink,ardnamurchanlink
193,AreaOxhey,areaoxhey
194,ArrDee,arrdee
195,Art4Ukraine,art4ukraine
196,ArtEncyclopaedia,artencyclopaedia
197,ArtHouse,arthouse
198,ArtReach,artreach
199,ArtUK,artuk
200,ArtWild,artwild
201,ArthanayakeNihal,arthanayakenihal
202,ArwenStorm,arwenstorm
203,AssociationMilton,associationmilton
204,AssociationWelsh,associationwelsh
205,AsthmaLung,asthmalung
206,AstraZeneca,astrazeneca
207,AstroTurf,astroturf
208,AthleticThe,athleticthe
209,AugustLink,augustlink
210,AvenueLink,avenuelink
211,AwardA,awarda
212,AwardsWorld,awardsworld
213,AyrshireColin,ayrshirecolin
214,B'Tselem,b'tselem
215,BA5the,ba5the
216,BBC100Women,bbc100women
217,BBCAfricaLink,bbcafricalink
218,BBCClickBBCClick,bbcclickbbcclick
219,BBCEngland,bbcengland
220,BBCHaveYourSay,bbchaveyoursay
221,BBCLink,bbclink
222,BBCMorelle,bbcmorelle
223,BBCSavanta,bbcsavanta
224,BBCa,bbca
225,BBCadmitted,bbcadmitted
226,BBChad,bbchad
227,BBCiPlayer,bbciplayer
228,BBCtold,bbctold
229,BBCtravelwatcher,bbctravelwatcher
230,BEXcellence,bexcellence
231,BIlston,bilston
232,BJPShiv,bjpshiv
233,BMIBody,bmibody
234,BMXing,bmxing
235,BMusic,bmusic
236,BSc,bsc
237,BTec,btec
238,BaBi,babi
239,BamburghBamburgh,bamburghbamburgh
240,BanBan,banban
241,BanConversionTherapy,banconversiontherapy
242,BanffMacduff,banffmacduff
243,BarBench,barbench
244,BarBeyond,barbeyond
245,BardsGorsedd,bardsgorsedd
246,BarmouthMargaret,barmouthmargaret
247,BaySwansea,bayswansea
248,BayWa,baywa
249,BazaarVoice,bazaarvoice
250,BeGambleAware,begambleaware
251,BeReal,bereal
252,Beach4Art,beach4art
253,BearPaddington,bearpaddington
254,BeatBeat,beatbeat
255,BeautyArea,beautyarea
256,BeeU,beeu
257,BeeWell,beewell
258,BehindEveryGreatCity,behindeverygreatcity
259,BeijingTiananmen,beijingtiananmen
260,BelfastGood,belfastgood
261,BelugaST,belugast
262,BetFair,betfair
263,BetMGM,betmgm
264,BetVictor,betvictor
265,BevanAneurin,bevananeurin
266,BeyGOOD,beygood
267,BhakerTeenage,bhakerteenage
268,BharatNet,bharatnet
269,BharatPe,bharatpe
270,BiB,bib
271,BiVAD,bivad
272,BidFood,bidfood
273,Bike4Life,bike4life
274,BillDigital,billdigital
275,BillOnline,billonline
276,BillPrivate,billprivate
277,BioBlitz,bioblitz
278,BioGlue,bioglue
279,BioMedical,biomedical
280,BioNTainer,biontainer
281,BioNTech,biontech
282,BioNTechPfizer,biontechpfizer
283,BioResource,bioresource
284,BioTeq,bioteq
285,BipolarIndia,bipolarindia
286,BirdGirlUK,birdgirluk
287,BirdLife,birdlife
288,BitChute,bitchute
289,BlacKkKlansman,blackkklansman
290,Black2Nature,black2nature
291,BlackBerry,blackberry
292,BlackEnergy,blackenergy
293,BlackFly,blackfly
294,BlackRock,blackrock
295,BlackhorseRoadpoliceconductgovuk,blackhorseroadpoliceconductgovuk
296,BlenderBot,blenderbot
297,BloodHorse,bloodhorse
298,BlossomWatch,blossomwatch
299,BlueBay,bluebay
300,BlueGirl,bluegirl
301,BlueforBob,blueforbob
302,BlurTender,blurtender
303,BnB,bnb
304,BoB,bob
305,BoE,boe
306,BoilerJuice,boilerjuice
307,BoohooMAN,boohooman
308,BookBar,bookbar
309,BookBench,bookbench
310,BookScan,bookscan
311,BookTok,booktok
312,BookTrust,booktrust
313,Books2Door,books2door
314,BooksLondon,bookslondon
315,BoomBox,boombox
316,BoostOakland,boostoakland
317,BorisJohnson,borisjohnson
318,BoroughBroxbourne,boroughbroxbourne
319,BoroughWatford,boroughwatford
320,BoxHall,boxhall
321,BoycottCocaCola,boycottcocacola
322,BoycottDecathlon,boycottdecathlon
323,BoycottKeralaBoycottKerala,boycottkeralaboycottkerala
